TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=board,,,,,,,,,,,,
,,,,,,,,,,,,,
section,Before the project,,,,,,,,,,,,
task,make a planning (all),,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,divide the tasks (all),,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,make presentation (all),,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
,,,,,,,,,,,,,
section,Classes (Ryan),,,,,,,,,,,,
task,brands class,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: find by id,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,database class,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: start,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: close,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,themes class,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: find by id,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,users class,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: find by username and password,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: login,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: find (by id),,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,sets class,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: find by id,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,sessions class,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: insert,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,function: find active session,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
,,,,,,,,,,,,,
section,Design (Nathan & Max),,,,,,,,,,,,
task,Login page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,"form for logging in (username, password, and confirm)",,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,managing page for owners/workers,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,page that shows a brief overview of all sets,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,page that shows all details of one set,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,page for editing/adding sets,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
,,,,,,,,,,,,,
section,front-end (Nathan & Max),,,,,,,,,,,,
task,login page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,"form for logging in (username, password and confirm button)",,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,managing page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,table for showing all the sets,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,main page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,table for showing all sets,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,detail page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,sections for showing all information of a set,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,editing/adding page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,a form with input fields for all required items for editing/adding sets,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
,,,,,,,,,,,,,
section,"back-end (Ryan, Saif & Mohammed)",,,,,,,,,,,,
task,login page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,adding the php for handling log-ins,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,managing page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,making the table functional with all information,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,adding buttons for each table element to edit,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,main page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,making the table functional by adding all the information using php,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,detail page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,adding the functions to each sections for the full detail page,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,editing/adding page,,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,making the form functional using the function in the set class,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,deleting page (functional only),,4,1,R. (53830777),,,,Europe/Amsterdam,,,,
task,should only allow owners to delete the sets,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
task,returns to managing page after deleting,,4,2,R. (53830777),,,,Europe/Amsterdam,,,,
,,,,,,,,,,,,,
